epoch,step,ppl,loss,lr,route_ent,exp_sim,gate_avg,grad_norm,conv_rate,aux_loss,cap_rate,gate_ratio
1,1800,4451.8,8.39,1.00e-04,1.2773,0.3158,0.4969,1.8817,0.0000,0.527018,0.0000,2.5453
1,2000,4422.7,8.33,1.00e-04,1.2720,0.3247,0.4968,1.7825,0.0000,0.520133,0.0078,2.6147
1,2200,4417.9,8.37,1.00e-04,1.1811,0.3378,0.4968,1.3323,0.0000,0.520134,0.0078,2.5646
1,2400,4416.4,8.50,1.00e-04,1.2139,0.3481,0.4967,1.3069,0.0000,0.515780,0.0312,2.8131
1,2600,4418.9,8.32,1.00e-04,1.0872,0.3693,0.4967,1.1784,0.0000,0.515823,0.0234,3.0984
1,200,4441.5,8.31,1.00e-04,1.2463,0.2912,0.4968,1.7603,0.0000,0.521979,0.0000,2.5177
1,400,4271.6,8.30,1.00e-04,1.1742,0.2784,0.4967,1.9359,0.0000,0.523183,0.0000,2.5267
1,600,4076.8,8.25,1.00e-04,1.3120,0.2359,0.4965,2.2834,0.0000,0.527463,0.0000,2.3587
1,800,3930.9,8.22,1.00e-04,1.2696,0.2252,0.4964,2.0724,0.0000,0.525182,0.0000,2.3497
1,1000,3829.5,8.11,1.00e-04,1.2957,0.2525,0.4963,2.2364,0.0000,0.514883,0.0000,2.2955
1,1200,3762.2,8.33,1.00e-04,1.3114,0.2784,0.4962,2.3860,0.0000,0.517474,0.0000,2.2129
1,1400,3723.1,8.08,1.00e-04,1.1977,0.3361,0.4962,2.1062,0.0000,0.520428,0.0000,2.3568
1,1600,3703.0,8.20,1.00e-04,1.2419,0.3942,0.4961,2.0531,0.0000,0.515761,0.0000,2.5818
1,1800,3681.9,8.18,1.00e-04,1.3377,0.3973,0.4960,2.3128,0.0000,0.519193,0.0000,2.4669
1,2000,3666.1,8.17,1.00e-04,1.2927,0.4198,0.4960,2.3485,0.0000,0.513656,0.0000,2.5180
1,2200,3746.5,8.44,1.00e-04,1.2205,0.4439,0.4961,1.1945,0.0000,0.517634,0.0078,3.0697
1,200,3771.2,8.18,1.00e-04,1.2541,0.4329,0.4959,2.5133,0.0000,0.520621,0.0000,2.9858
