step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
36400,59.79,24.05,0.00,1.05,0.9993,0.4002,754,1.00e-04
36600,59.75,24.05,0.00,1.05,0.9993,0.3976,754,1.00e-04
36800,59.72,24.05,0.00,1.05,0.9993,0.3960,754,1.00e-04
37000,59.68,24.05,0.00,1.05,0.9993,0.3942,754,1.00e-04
37200,59.65,24.05,0.00,1.05,0.9993,0.3950,754,1.00e-04
37400,59.60,24.05,0.00,1.05,0.9993,0.3941,754,1.00e-04
37600,59.55,24.05,0.00,1.05,0.9993,0.3939,754,1.00e-04
37800,59.50,24.05,0.00,1.05,0.9993,0.3915,754,1.00e-04
38000,59.47,24.05,0.00,1.05,0.9993,0.3939,754,1.00e-04
38200,59.45,24.05,0.00,1.05,0.9993,0.3967,754,1.00e-04
38400,59.41,24.05,0.00,1.05,0.9993,0.3988,754,1.00e-04
38600,59.39,24.05,0.00,1.05,0.9993,0.4019,754,1.00e-04
38800,59.35,24.05,0.00,1.05,0.9993,0.3990,754,1.00e-04
39000,59.32,24.06,0.00,1.05,0.9993,0.3956,754,1.00e-04
39200,59.28,24.06,0.00,1.05,0.9993,0.3939,754,1.00e-04
39400,59.25,24.06,0.00,1.05,0.9993,0.3974,754,1.00e-04
39600,59.22,24.06,0.00,1.05,0.9993,0.3950,754,1.00e-04
39800,59.19,24.06,0.00,1.05,0.9993,0.3929,754,1.00e-04
40000,59.17,24.06,0.00,1.05,0.9993,0.3977,754,1.00e-04
40200,59.13,24.06,0.00,1.05,0.9993,0.3996,754,1.00e-04
40400,59.10,24.06,0.00,1.05,0.9993,0.3951,754,1.00e-04
40600,59.07,24.06,0.00,1.04,0.9993,0.3946,754,1.00e-04
40800,59.04,24.06,0.00,1.04,0.9993,0.3932,754,1.00e-04
41000,58.99,24.06,0.00,1.04,0.9993,0.3907,754,1.00e-04
41200,58.96,24.06,0.00,1.04,0.9993,0.3929,754,1.00e-04
41400,58.93,24.06,0.00,1.04,0.9993,0.3923,754,1.00e-04
41600,58.90,24.06,0.00,1.04,0.9993,0.3925,754,1.00e-04
41800,58.87,24.06,0.00,1.04,0.9993,0.3943,754,1.00e-04
42000,58.84,24.06,0.00,1.04,0.9993,0.3885,754,1.00e-04
42200,58.81,24.06,0.00,1.04,0.9993,0.3914,754,1.00e-04
42400,58.77,24.06,0.00,1.04,0.9993,0.3900,754,1.00e-04
42600,58.72,24.06,0.00,1.04,0.9993,0.3914,754,1.00e-04
42800,58.69,24.06,0.00,1.04,0.9993,0.3895,754,1.00e-04
43000,58.65,24.06,0.00,1.04,0.9993,0.3914,754,1.00e-04
43200,58.63,24.06,0.00,1.04,0.9993,0.3908,754,1.00e-04
43400,58.59,24.06,0.00,1.04,0.9993,0.3932,754,1.00e-04
43600,58.57,24.06,0.00,1.04,0.9993,0.3946,754,1.00e-04
43800,58.54,24.06,0.00,1.04,0.9993,0.3894,754,1.00e-04
44000,58.50,24.07,0.00,1.04,0.9993,0.3860,754,1.00e-04
44200,58.47,24.07,0.00,1.04,0.9993,0.3901,754,1.00e-04
44400,58.43,24.07,0.00,1.04,0.9993,0.3861,754,1.00e-04
44600,58.41,24.07,0.00,1.04,0.9993,0.3866,754,1.00e-04
44800,58.37,24.07,0.00,1.04,0.9993,0.3856,754,1.00e-04
45000,58.35,24.07,0.00,1.04,0.9993,0.3873,754,1.00e-04
45200,58.31,24.07,0.00,1.04,0.9993,0.3843,754,1.00e-04
45400,58.28,24.07,0.00,1.04,0.9993,0.3819,754,1.00e-04
45600,58.24,24.07,0.00,1.04,0.9993,0.3833,754,1.00e-04
45800,58.21,24.07,0.00,1.04,0.9993,0.3830,754,1.00e-04
46000,58.18,24.07,0.00,1.04,0.9993,0.3824,754,1.00e-04
46200,58.16,24.07,0.00,1.04,0.9993,0.3857,754,1.00e-04
46400,58.14,24.07,0.00,1.04,0.9993,0.3876,754,1.00e-04
46600,58.11,24.07,0.00,1.04,0.9993,0.3866,754,1.00e-04
46800,58.08,24.07,0.00,1.04,0.9993,0.3820,754,1.00e-04
47000,58.05,24.07,0.00,1.04,0.9993,0.3857,754,1.00e-04
47200,58.01,24.07,0.00,1.04,0.9993,0.3830,754,1.00e-04
47400,57.99,24.08,0.00,1.04,0.9993,0.3844,754,1.00e-04
47600,57.95,24.08,0.00,1.04,0.9993,0.3812,754,1.00e-04
47800,57.93,24.08,0.00,1.04,0.9993,0.3817,754,1.00e-04
48000,57.91,24.08,0.00,1.04,0.9993,0.3827,754,1.00e-04
48200,57.88,24.08,0.00,1.04,0.9993,0.3853,754,1.00e-04
48400,57.85,24.08,0.00,1.04,0.9993,0.3841,754,1.00e-04
48600,57.83,24.08,0.00,1.04,0.9993,0.3858,754,1.00e-04
48800,57.79,24.08,0.00,1.04,0.9993,0.3856,754,1.00e-04
