step,ppl,loss,lr,grad_norm,aux_loss,route_ent,exp_sim,val_ppl
180000,5.1,1.53,4.29e-05,15.6978,0.083774,1.8786,0.0000,4.3
181500,5.1,1.68,1.58e-04,30.4057,0.224115,0.2424,0.0000,4.3
183000,5.1,1.84,1.58e-04,69.8935,0.391119,0.1450,0.0000,4.3
184500,5.1,1.82,2.01e-04,80.5318,0.363279,0.2232,0.0000,4.3
186000,5.1,1.62,3.92e-05,91.0324,0.167170,0.3570,0.0000,4.3
187500,5.1,1.78,3.82e-05,99.4771,0.325963,0.1370,0.0000,4.3
189000,5.1,1.63,1.83e-05,183.2318,0.175145,0.1674,0.0000,4.3
190500,5.1,1.60,1.80e-05,188.7997,0.149757,0.4157,0.0000,4.3
192000,5.1,1.62,1.77e-05,158.5569,0.171817,0.3256,0.0000,4.3
193500,5.1,1.60,1.74e-05,286.9334,0.158476,0.3439,0.0000,4.3
195000,5.1,1.61,1.00e-05,448.7344,0.162191,0.5394,0.0000,4.3
196500,5.1,1.61,1.00e-05,453.9014,0.166781,0.3950,0.0000,4.3
